epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49227974568574023,0.8575103898674055,0.8673148795009564,0.739035005018034
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4950045413260672,0.8782406491193351,0.8756808421300291,0.749642010858477
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5077202543142597,0.8827924005541262,0.8786822629037675,0.7563983059240512
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5077202543142597,0.8758658222837918,0.8791673416574335,0.7542511394184951
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5031789282470481,0.8873441519889175,0.8840759519990969,0.7581996774116875
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48501362397820164,0.8859588363348506,0.8859212937445543,0.7522979180192021
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47593097184377836,0.885859885216703,0.8842571507463577,0.7486826692689462
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5004541326067211,0.8858104096576291,0.8859730026759077,0.757412514980086
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5013623978201635,0.8857609340985553,0.8878304108821964,0.7583179142669717
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49318801089918257,0.8854146051850386,0.8867900531011333,0.7551308897284515
